"X_id","OBJECTID","STRUCTID","ADDRESS","STREETNAME","CROSSSTREET1","CROSSSTREET2","DBH_TRUNK","WARD","BOTANICAL_NAME","COMMON_NAME","geometry"
1,51663,37023,4018,"rrTjYHhq St","tRKqbnQN St","odXsbSxt St",99.5,2,"Acer saccharinum","White Birch","POINT (-79.4643605442019 43.7913696726086)"
2,57870,25197,4241,"WXMERLHd St","qxcpmbzY St","ArUdVCoj St",63.2,15,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.418515573442 43.7250763983466)"
3,2986,72349,4006,"jRvMfipW St","NIkQHNMn St","ItRDNmgx St",42.7,2,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.4027947990457 43.7688619591063)"
4,29925,55189,2830,"NdXdXxDR St","tZYEhJMa St","ZgjsPTTq St",22.7,6,"Picea pungens","Colorado Blue Spruce","POINT (-79.3329448803561 43.7202345184982)"
5,95246,50939,4859,"bjjAnNvZ St","XHIPlMJf St","WQVGFrxw St",15,5,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3759476043982 43.7640901874518)"
6,68293,19460,897,"DSmZnOVm St","TyRcdMRE St","upXebfMS St",17.9,12,"Picea pungens","Silver Maple","POINT (-79.5785549832275 43.8575241310988)"
7,62555,58064,3322,"lKEbeEAI St","FFfvoYxt St","gpDJkLBC St",43.8,25,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.5035739436513 43.8662512025097)"
8,45404,10355,2745,"glxYwUAA St","DtvwHCWA St","HqymYqUX St",54.4,8,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.3470127431676 43.8260271995096)"
9,65161,12199,447,"kxSTZwAF St","FawEcoZj St","XrPrrhVE St",86.2,2,"Picea pungens","Silver Maple","POINT (-79.4442378483014 43.6850346712163)"
10,46435,99093,445,"hLPshSWZ St","iczZNmip St","nwyFwoQt St",67.9,24,"Picea pungens","White Birch","POINT (-79.5662743345369 43.883866077126)"
11,9642,22054,4708,"HcgVlwbW St","csdZtGeb St","ZComLjIe St",41,14,"Acer saccharinum","Silver Maple","POINT (-79.4746452510124 43.6431165247224)"
12,59134,26365,2836,"lNQGuySa St","YogVMQya St","gnvkTSdS St",98.1,6,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.5139403740177 43.8865477215499)"
13,52132,48514,1869,"OIsVtgnB St","yYLMBSyk St","CcsYOSii St",99.1,2,"Betula papyrifera","Colorado Blue Spruce","POINT (-79.3149784006178 43.8674780511297)"
14,96849,75557,4094,"eCxXIdtD St","jqEqKPHK St","IKNqzoyv St",24.7,18,"Betula papyrifera","Silver Maple","POINT (-79.3930548131233 43.7154106106376)"
15,14183,33415,3755,"xsbrlzla St","cBUDvMyu St","LqozLPRB St",10,22,"Acer saccharinum","White Birch","POINT (-79.5614748198306 43.8545415193541)"
16,15180,10870,1465,"tJKDqkCv St","qFZJtCLi St","qkXewRsd St",94.2,18,"Betula papyrifera","White Birch","POINT (-79.423837650707 43.8207995201461)"
17,27168,2946,3447,"zqOXTDfR St","NAatWBLo St","DALxJnoj St",49.6,25,"Picea pungens","Colorado Blue Spruce","POINT (-79.5677647778066 43.6832313815132)"
18,89709,48909,3514,"FAURbTTA St","hENWtGSb St","MOIaUAKj St",32.2,11,"Betula papyrifera","Silver Maple","POINT (-79.5559416313423 43.8233430532971)"
19,9097,96139,278,"ycBaXatC St","SWYivOlP St","LMuPHQCx St",17.1,7,"Acer saccharinum","Colorado Blue Spruce","POINT (-79.4228076522704 43.6333154734224)"
